ticker,begyear,endyear
NATI,2008,2013
NFLX,2008,2013
ADBE,2008,2013
GOOG,2008,2013
SAP,2008,2013
NTAP,2008,2013
INTU,2008,2013
FDS,2008,2013
FDX,2008,2013
ACN,2008,2013
CRM,2008,2013
BBY,2008,2013
WFC,2008,2013
TXN,2008,2013
LMT,2008,2013
MET,2008,2013
QCOM,2008,2013
AXP,2008,2013
PG,2008,2013
BAH,2008,2013
SLB,2008,2013
CTXS,2008,2013
JWN,2008,2013
GS,2008,2013
CVX,2008,2013
NKE,2008,2013
MAR,2008,2013
JNPR,2008,2013
GIS,2008,2013
AAPL,2008,2013
CAT,2008,2013
PAYX,2008,2013
GSK,2009,2014
MAR,2009,2014
LUV,2009,2014
GIS,2009,2014
PG,2009,2014
JNPR,2009,2014
NATI,2009,2014
SHW,2009,2014
NTAP,2009,2014
GS,2009,2014
FDS,2009,2014
MDT,2009,2014
CVX,2009,2014
GOOG,2009,2014
AAPL,2009,2014
CAT,2009,2014
PAYX,2009,2014
FDX,2009,2014
BAH,2009,2014
INTC,2009,2014
CTAS,2009,2014
TRV,2009,2014
BBY,2009,2014
PRU,2009,2014
ADBE,2009,2014
SLB,2009,2014
QCOM,2009,2014
INTU,2009,2014
CMI,2010,2015
NKE,2010,2015
AXP,2010,2015
INTC,2010,2015
F,2010,2015
CRM,2010,2015
ADBE,2010,2015
MS,2010,2015
QCOM,2010,2015
DB,2010,2015
FLR,2010,2015
TRV,2010,2015
COF,2010,2015
DE,2010,2015
FB,2010,2015
GIS,2010,2015
OSTK,2010,2015
SFLY,2010,2015
NTAP,2010,2015
GS,2010,2015
LUV,2010,2015
AAPL,2010,2015
ADI,2010,2015
PG,2010,2015
BBT,2010,2015
SNPS,2010,2015
CVX,2010,2015
NATI,2010,2015
GOOG,2010,2015
BMY,2010,2015
CTXS,2011,2016
W,2011,2016
NATI,2011,2016
LUV,2011,2016
CRM,2011,2016
DOW,2011,2016
GIS,2011,2016
AAPL,2011,2016
GOOG,2011,2016
QCOM,2011,2016
CVX,2011,2016
COST,2011,2016
TPR,2011,2016
FLR,2011,2016
JNJ,2011,2016
NTAP,2011,2016
MORN,2011,2016
INTC,2011,2016
SBUX,2011,2016
NKE,2011,2016
GS,2011,2016
INTU,2011,2016
ACN,2011,2016
JWN,2011,2016
LLY,2011,2016
NVDA,2011,2016
PG,2011,2016
FB,2011,2016
GRPN,2011,2016
FDX,2011,2016
CRM,2012,2017
GOOG,2012,2017
NATI,2012,2017
LUV,2012,2017
CVX,2012,2017
RDSA,2012,2017
IT,2012,2017
AKAM,2012,2017
SBUX,2012,2017
WDAY,2012,2017
CMI,2012,2017
FB,2012,2017
CTXS,2012,2017
MA,2012,2017
COST,2012,2017
DOW,2012,2017
SAP,2012,2017
BIIB,2012,2017
QCOM,2012,2017
FLR,2012,2017
GIS,2012,2017
AAPL,2012,2017
RHT,2012,2017
H,2012,2017
JBLU,2012,2017
INTC,2012,2017
A,2012,2017
TXN,2013,2018
TWTR,2013,2018
EMN,2013,2018
FB,2013,2018
GWRE,2013,2018
GOOG,2013,2018
DE,2013,2018
QCOM,2013,2018
CVX,2013,2018
COST,2013,2018
INTU,2013,2018
IT,2013,2018
LUV,2013,2018
TXRH,2013,2018
RHT,2013,2018
H,2013,2018
NATI,2013,2018
NKE,2013,2018
INTC,2013,2018
AAPL,2013,2018
FDX,2013,2018
CTXS,2013,2018
SBUX,2013,2018
NTAP,2013,2018
DIS,2013,2018
CMCSA,2013,2018
EBAY,2013,2018
CAM,2013,2018
SYK,2013,2018
PG,2013,2018
CRM,2013,2018
